304 304 130
1 -0.012484 0.049284 0.0050194
2 -0.0013326 0.045968 0.016786
3 0.0089281 0.049505 0.0051083
4 -0.024513 0.045512 0.013803
5 -0.013698 0.043649 0.023688
6 -0.02325 0.034777 0.031413
7 -0.036447 0.033941 0.019028
8 -0.030718 0.043608 0.0044426
9 -0.041472 0.031861 0.010664
10 -0.0012697 0.034732 0.033991
11 -0.011422 0.02719 0.042152
12 -0.00094312 0.01544 0.047345
13 0.0084446 0.027497 0.041477
14 -0.028099 0.026844 0.036728
15 -0.040929 0.025938 0.024338
16 -0.040216 0.015018 0.034871
17 -0.045614 0.024343 0.0094402
18 -0.047497 0.011806 -0.001723
19 -0.042359 0.021098 -0.0061436
20 -0.022168 0.016802 0.04595
21 -0.03498 0.0046569 0.044809
22 -0.025736 -0.0064675 0.053558
23 -0.013015 0.0052079 0.052703
24 -0.048568 0.014421 0.017341
25 -0.048099 0.0058359 0.028234
26 -0.051231 0.0039949 0.0071848
27 -0.05446 -0.0063633 0.016804
28 -0.046302 -0.0061277 0.039909
29 -0.038996 -0.017477 0.049184
30 -0.05367 -0.017374 0.028984
31 -0.048126 -0.029451 0.04232
32 -0.053573 -0.0069624 -0.0072901
33 -0.05589 -0.016428 0.0044003
34 -0.054915 -0.026717 -0.0076881
35 -0.026727 -0.030526 0.056734
36 -0.036623 -0.0413 0.04936
37 -0.024056 -0.053025 0.050953
38 -0.015143 -0.042371 0.058378
39 -0.055816 -0.027431 0.018202
40 -0.051075 -0.039783 0.031146
41 -0.054904 -0.036891 0.0067858
42 -0.050658 -0.047959 0.018539
43 -0.042066 -0.050869 0.039207
44 -0.029523 -0.061841 0.040703
45 -0.042409 -0.059092 0.026824
46 -0.031426 -0.06824 0.028956
47 -0.051539 -0.043939 -0.0031452
48 -0.047552 -0.054991 0.0091984
49 -0.042756 -0.061741 0.0011412
50 -0.043836 -0.053255 -0.013063
51 -0.023443 -0.078307 0.013541
52 -0.029231 -0.075725 0.0039377
53 -0.020103 -0.077483 -0.0056842
54 -0.012414 -0.082356 0.0054795
55 -0.033797 -0.067959 -0.0097243
56 -0.024657 -0.068272 -0.022057
57 -0.034882 -0.059188 -0.025472
58 -0.048094 0.002374 -0.012947
59 -0.040275 0.0066342 -0.021401
60 -0.050071 -0.035967 -0.013724
61 -0.039519 -0.047689 -0.028765
62 -0.01504 -0.018198 0.058174
63 -0.00061839 -0.0067771 0.054992
64 -0.00087039 -0.029704 0.05901
65 0.012343 -0.017641 0.057693
66 -0.012813 -0.062917 0.046762
67 -0.0019166 -0.052753 0.053711
68 0.010895 -0.063219 0.046538
69 -0.012011 -0.070017 0.037207
70 -0.014739 -0.076576 0.025594
71 -0.0020058 -0.08109 0.016329
72 0.0096149 -0.07035 0.037162
73 0.012416 -0.077307 0.025132
74 0.0069881 -0.073794 -0.018676
75 -0.011068 -0.07297 -0.018793
76 -0.0021303 -0.080817 -0.0026227
77 0.010711 0.043845 0.023062
78 0.01949 0.046374 0.013081
79 0.019186 0.035767 0.030412
80 0.032753 0.034611 0.017691
81 0.024864 0.044824 0.0031327
82 0.037756 0.032408 0.0093324
83 0.024578 0.028205 0.035106
84 0.037536 0.027207 0.022108
85 0.037366 0.016604 0.03305
86 0.042047 0.025331 0.0077927
87 0.038386 0.021111 -0.0087099
88 0.043726 0.013226 -0.004532
89 0.010717 0.0055289 0.052395
90 0.019394 0.017255 0.04536
91 0.03236 0.0060362 0.043696
92 0.023125 -0.0054381 0.052891
93 0.045395 0.015965 0.014782
94 0.04573 0.0068018 0.025678
95 0.048051 0.0056808 0.0047348
96 0.052182 -0.0041612 0.013466
97 0.036537 0.0060006 -0.023526
98 0.044067 0.0040723 -0.015805
99 0.043585 -0.0038431 0.038176
100 0.036487 -0.015607 0.047771
101 0.052044 -0.01514 0.025968
102 0.046058 -0.028136 0.041092
103 0.050744 -0.0050608 -0.010261
104 0.054344 -0.014201 0.0019519
105 0.053693 -0.025293 -0.010265
106 0.012695 -0.041772 0.057922
107 0.024083 -0.029331 0.056271
108 0.035371 -0.041061 0.048433
109 0.022219 -0.053195 0.050567
110 0.055262 -0.025881 0.015194
111 0.050842 -0.039107 0.028671
112 0.054727 -0.035488 0.004622
113 0.050843 -0.047635 0.016664
114 0.048716 -0.035025 -0.016292
115 0.037979 -0.049353 -0.030614
116 0.041008 -0.051376 0.038205
117 0.028343 -0.062551 0.040086
118 0.041929 -0.060385 0.025413
119 0.030486 -0.069281 0.028541
120 0.051221 -0.043856 -0.0054897
121 0.047224 -0.056398 0.0071325
122 0.043007 -0.054787 -0.014917
123 0.042397 -0.062837 -0.00037203
124 0.017213 -0.07971 -0.0052479
125 0.0096294 -0.083121 0.0050808
126 0.021174 -0.079867 0.012885
127 0.027118 -0.077587 0.0026844
128 0.021475 -0.070172 -0.022606
129 0.032968 -0.061419 -0.026441
130 0.032307 -0.069988 -0.010678
