329 329 130
1 -0.0097972 0.065278 0.00092875
2 0.0014732 0.062466 0.013721
3 0.013247 0.064224 0.0010477
4 -0.022549 0.06133 0.0084276
5 -0.012722 0.059042 0.022332
6 -0.022822 0.049768 0.030311
7 -0.036191 0.047936 0.016299
8 -0.028031 0.058377 -0.00069881
9 -0.041604 0.044453 0.0060315
10 -5.9595e-05 0.04998 0.035839
11 -0.011277 0.040987 0.044059
12 -0.0010961 0.027988 0.052378
13 0.010622 0.040256 0.044412
14 -0.02904 0.040718 0.036644
15 -0.041984 0.038485 0.022768
16 -0.042171 0.027307 0.035653
17 -0.046458 0.035311 0.0056223
18 -0.048674 0.020508 -0.0043171
19 -0.043063 0.028753 -0.010366
20 -0.023723 0.029007 0.048494
21 -0.037763 0.01658 0.047492
22 -0.029371 0.003629 0.058582
23 -0.01515 0.016715 0.057228
24 -0.050575 0.025332 0.015932
25 -0.051996 0.014964 0.028994
26 -0.054729 0.011011 0.0065825
27 -0.058922 0.00048798 0.017835
28 -0.051155 0.0026776 0.042752
29 -0.044298 -0.0098503 0.054773
30 -0.05894 -0.010619 0.03264
31 -0.054453 -0.023024 0.048215
32 -0.057425 -0.0034392 -0.0073665
33 -0.061124 -0.012329 0.0052924
34 -0.060096 -0.023837 -0.0051457
35 -0.031563 -0.022875 0.064451
36 -0.043272 -0.036667 0.057452
37 -0.029554 -0.049894 0.061515
38 -0.018486 -0.037591 0.067978
39 -0.061683 -0.023131 0.021551
40 -0.058003 -0.036021 0.037701
41 -0.060872 -0.035379 0.011259
42 -0.057225 -0.046913 0.025371
43 -0.049382 -0.047867 0.047905
44 -0.036081 -0.060674 0.051676
45 -0.049624 -0.058733 0.03571
46 -0.037964 -0.069775 0.03994
47 -0.057337 -0.044778 0.0017377
48 -0.053729 -0.056525 0.015919
49 -0.04864 -0.065394 0.00806
50 -0.049578 -0.056463 -0.008375
51 -0.028504 -0.084453 0.024839
52 -0.035104 -0.082275 0.014182
53 -0.024872 -0.086733 0.0036645
54 -0.016187 -0.090731 0.01795
55 -0.040393 -0.074081 -0.0021379
56 -0.029887 -0.078212 -0.013454
57 -0.04101 -0.065963 -0.019636
58 -0.050182 0.0067311 -0.015037
59 -0.041985 0.010592 -0.0251
60 -0.053733 -0.037503 -0.011632
61 -0.04496 -0.05255 -0.025325
62 -0.01801 -0.010378 0.065775
63 -0.0023802 0.0023954 0.06308
64 -0.0036902 -0.024356 0.069086
65 0.012682 -0.011087 0.065982
66 -0.016551 -0.061891 0.058854
67 -0.004241 -0.050456 0.064894
68 0.0074359 -0.062807 0.058666
69 -0.015498 -0.071417 0.049953
70 -0.018405 -0.080988 0.037868
71 -0.0043392 -0.086765 0.030181
72 0.0066361 -0.072335 0.050121
73 0.010177 -0.082496 0.038523
74 0.0077334 -0.086591 -0.0075136
75 -0.013505 -0.084493 -0.0077651
76 -0.0035113 -0.090141 0.0072235
77 0.014513 0.058095 0.022711
78 0.02534 0.060375 0.0095125
79 0.022841 0.048751 0.030996
80 0.038388 0.045645 0.017963
81 0.032391 0.057011 0.00010923
82 0.045619 0.041805 0.0080349
83 0.028926 0.03863 0.038062
84 0.044114 0.035683 0.024425
85 0.041999 0.024927 0.037581
86 0.05024 0.0322 0.0073385
87 0.047502 0.026506 -0.0095981
88 0.051675 0.018867 -0.0033503
89 0.012115 0.015965 0.057841
90 0.021937 0.027525 0.049546
91 0.034681 0.015011 0.049404
92 0.024438 0.0026194 0.059676
93 0.05266 0.022287 0.017878
94 0.051288 0.013027 0.03049
95 0.055397 0.009246 0.0085403
96 0.058846 -0.0014775 0.019697
97 0.044098 0.0085109 -0.024649
98 0.052089 0.004463 -0.014619
99 0.048305 0.00072592 0.044906
100 0.039365 -0.011883 0.056316
101 0.057342 -0.013685 0.035
102 0.050043 -0.025605 0.050675
103 0.058344 -0.0060458 -0.0062221
104 0.060947 -0.015373 0.007558
105 0.060098 -0.028401 -0.0036449
106 0.011985 -0.038609 0.068634
107 0.024738 -0.025284 0.065994
108 0.036544 -0.039451 0.059764
109 0.021981 -0.050999 0.063144
110 0.060463 -0.026607 0.024465
111 0.054872 -0.039619 0.040128
112 0.059898 -0.039406 0.012844
113 0.054675 -0.051252 0.02829
114 0.053339 -0.041898 -0.010773
115 0.044041 -0.055355 -0.024612
116 0.043379 -0.051249 0.050818
117 0.028733 -0.063887 0.053064
118 0.044573 -0.063652 0.038105
119 0.030517 -0.073783 0.042002
120 0.055876 -0.049832 0.0024096
121 0.050716 -0.062795 0.017614
122 0.0477 -0.061056 -0.0071465
123 0.045381 -0.070973 0.0094651
124 0.018351 -0.090155 0.004146
125 0.0081342 -0.092602 0.018428
126 0.020972 -0.08762 0.026414
127 0.029095 -0.086646 0.015308
128 0.025036 -0.081901 -0.012395
129 0.038701 -0.069521 -0.018954
130 0.036613 -0.07875 -0.00051166
