360 360 130
1 -0.013474 0.05803 0.0027348
2 -0.0028796 0.056069 0.015254
3 0.0080149 0.057945 0.0027154
4 -0.025682 0.054195 0.010844
5 -0.015302 0.052837 0.02305
6 -0.025333 0.043316 0.031553
7 -0.039057 0.041336 0.017568
8 -0.032253 0.050829 0.0011678
9 -0.044667 0.0378 0.0078557
10 -0.0029536 0.043818 0.036663
11 -0.01315 0.035374 0.044759
12 -0.0031567 0.02277 0.05209
13 0.0071635 0.036031 0.044672
14 -0.031358 0.034239 0.037681
15 -0.044666 0.032232 0.02385
16 -0.04369 0.021304 0.036498
17 -0.049211 0.029275 0.006479
18 -0.051487 0.014838 -0.0057311
19 -0.045913 0.02346 -0.011392
20 -0.025632 0.022682 0.049347
21 -0.038091 0.010872 0.048001
22 -0.029142 -0.0014287 0.058228
23 -0.016308 0.010878 0.057362
24 -0.052768 0.019152 0.016711
25 -0.053087 0.0094545 0.029037
26 -0.056138 0.0061767 0.0049486
27 -0.059823 -0.0045885 0.016663
28 -0.051395 -0.0036144 0.042971
29 -0.044313 -0.015681 0.053965
30 -0.059521 -0.015932 0.031845
31 -0.053738 -0.027491 0.04693
32 -0.058265 -0.0059537 -0.010311
33 -0.061513 -0.015654 0.0033283
34 -0.060073 -0.026961 -0.0092592
35 -0.031335 -0.027749 0.062955
36 -0.041663 -0.04129 0.055447
37 -0.02834 -0.053893 0.058312
38 -0.016603 -0.041236 0.065994
39 -0.061576 -0.02751 0.019584
40 -0.057221 -0.040412 0.035083
41 -0.060475 -0.038867 0.0083513
42 -0.056294 -0.05045 0.022244
43 -0.047495 -0.052954 0.044884
44 -0.034693 -0.064817 0.047365
45 -0.047617 -0.063317 0.031996
46 -0.035839 -0.073445 0.034517
47 -0.056653 -0.048261 -0.0028802
48 -0.052511 -0.059991 0.011203
49 -0.047393 -0.068086 0.0033647
50 -0.047911 -0.060759 -0.013763
51 -0.026496 -0.085285 0.01838
52 -0.033081 -0.082986 0.0077249
53 -0.021909 -0.086685 -0.0025992
54 -0.014651 -0.090271 0.010291
55 -0.037528 -0.076472 -0.0074776
56 -0.025845 -0.079242 -0.02006
57 -0.037376 -0.069764 -0.025331
58 -0.051882 0.0038837 -0.017155
59 -0.042888 0.007947 -0.026948
60 -0.052818 -0.041979 -0.017657
61 -0.04357 -0.056753 -0.029797
62 -0.017351 -0.014876 0.064752
63 -0.0031288 -0.0023841 0.061767
64 -0.0030986 -0.027964 0.067301
65 0.010887 -0.014457 0.065064
66 -0.014373 -0.065219 0.054807
67 -0.0031989 -0.05345 0.06216
68 0.0077108 -0.06521 0.055264
69 -0.013498 -0.074946 0.044307
70 -0.016845 -0.08285 0.031885
71 -0.0028765 -0.087768 0.023051
72 0.0074412 -0.075082 0.044581
73 0.011156 -0.083205 0.032655
74 0.0073529 -0.084184 -0.014552
75 -0.01135 -0.083871 -0.015387
76 -0.0024211 -0.089524 0.00028006
77 0.0098028 0.053026 0.023043
78 0.020067 0.054691 0.011383
79 0.019111 0.043991 0.032241
80 0.033848 0.04248 0.017625
81 0.027139 0.051645 0.0016684
82 0.040009 0.038924 0.0086018
83 0.02556 0.035488 0.038203
84 0.039274 0.033646 0.02462
85 0.038587 0.023252 0.037106
86 0.044692 0.030844 0.0069031
87 0.042095 0.025211 -0.0101
88 0.047444 0.017034 -0.0049153
89 0.010001 0.011075 0.057944
90 0.019304 0.023587 0.049973
91 0.032545 0.011744 0.049435
92 0.02307 -0.00016636 0.059286
93 0.048042 0.021057 0.016815
94 0.048237 0.011237 0.029906
95 0.051682 0.0083033 0.0059818
96 0.055426 -0.0021756 0.017713
97 0.039883 0.0089702 -0.025741
98 0.048359 0.0055852 -0.016364
99 0.046107 -0.0010352 0.043907
100 0.038327 -0.01337 0.055091
101 0.055048 -0.013247 0.032864
102 0.048883 -0.02644 0.048368
103 0.055185 -0.0042331 -0.0095953
104 0.057913 -0.013245 0.0035718
105 0.057672 -0.025253 -0.0083745
106 0.0097464 -0.040747 0.066478
107 0.024325 -0.026698 0.064351
108 0.036982 -0.040425 0.056692
109 0.021309 -0.05403 0.05945
110 0.057956 -0.025581 0.020945
111 0.053262 -0.039808 0.036954
112 0.057871 -0.03789 0.0090155
113 0.053165 -0.05058 0.023813
114 0.051829 -0.040856 -0.016502
115 0.042447 -0.056618 -0.029514
116 0.042965 -0.05304 0.04644
117 0.029836 -0.065505 0.048024
118 0.043805 -0.063895 0.033521
119 0.031841 -0.073555 0.036331
120 0.054739 -0.047613 -0.0017622
121 0.049929 -0.060881 0.012753
122 0.046592 -0.061423 -0.012206
123 0.045203 -0.068992 0.0047565
124 0.01797 -0.087756 -0.0017487
125 0.0094416 -0.090725 0.01045
126 0.021854 -0.086266 0.01932
127 0.029808 -0.083935 0.0084273
128 0.023059 -0.080226 -0.01882
129 0.035758 -0.070314 -0.024259
130 0.035024 -0.078014 -0.0057286
