305 305 130
1 -0.011622 0.051734 0.004811
2 -0.00044556 0.048747 0.01638
3 0.010411 0.051813 0.0037696
4 -0.022694 0.047658 0.013259
5 -0.012188 0.045849 0.023247
6 -0.020842 0.036571 0.031754
7 -0.034954 0.035832 0.01841
8 -0.029241 0.045705 0.0038056
9 -0.04082 0.033057 0.010204
10 0.00031168 0.036712 0.035437
11 -0.0091072 0.029092 0.04285
12 0.0009027 0.017048 0.048923
13 0.010551 0.028846 0.042256
14 -0.026738 0.027962 0.037227
15 -0.039731 0.026986 0.024883
16 -0.038827 0.016219 0.035703
17 -0.045439 0.025214 0.0090515
18 -0.049386 0.011284 -0.0030728
19 -0.044024 0.020635 -0.0094226
20 -0.02041 0.016898 0.047768
21 -0.033019 0.0054474 0.04665
22 -0.024484 -0.0068895 0.055282
23 -0.012118 0.0059438 0.053698
24 -0.048417 0.01496 0.017139
25 -0.047676 0.0051949 0.029252
26 -0.052889 0.002795 0.00609
27 -0.055443 -0.0084242 0.016813
28 -0.046517 -0.0078675 0.041324
29 -0.038291 -0.018987 0.051491
30 -0.054298 -0.019323 0.030919
31 -0.048727 -0.031252 0.044258
32 -0.055777 -0.0082871 -0.0080854
33 -0.057561 -0.018028 0.0042268
34 -0.057128 -0.028924 -0.0085021
35 -0.02562 -0.03142 0.058878
36 -0.036667 -0.043582 0.051633
37 -0.023512 -0.055272 0.053269
38 -0.014141 -0.043865 0.060299
39 -0.056749 -0.029069 0.019578
40 -0.05118 -0.04199 0.033808
41 -0.055913 -0.039564 0.0072208
42 -0.050776 -0.05096 0.020406
43 -0.042213 -0.053935 0.041662
44 -0.029819 -0.065043 0.042539
45 -0.042149 -0.062726 0.029083
46 -0.03086 -0.071509 0.030385
47 -0.052484 -0.047614 -0.0034467
48 -0.047575 -0.059254 0.0095387
49 -0.043121 -0.0669 0.00090362
50 -0.044999 -0.057811 -0.014231
51 -0.022861 -0.082121 0.013978
52 -0.029601 -0.079871 0.0036048
53 -0.018873 -0.082414 -0.0070466
54 -0.011888 -0.086621 0.0049251
55 -0.034462 -0.073262 -0.0095253
56 -0.023218 -0.074194 -0.024022
57 -0.034629 -0.064425 -0.027868
58 -0.050966 0.0016847 -0.015138
59 -0.043026 0.006288 -0.025604
60 -0.051349 -0.039316 -0.016427
61 -0.041114 -0.051597 -0.031285
62 -0.014469 -0.019271 0.059663
63 0.0012099 -0.0065207 0.056771
64 0.0011227 -0.031626 0.062355
65 0.016279 -0.019104 0.05891
66 -0.012695 -0.065587 0.048197
67 0.0010281 -0.05406 0.056397
68 0.014599 -0.065997 0.047728
69 -0.011164 -0.073748 0.03858
70 -0.013621 -0.080481 0.026986
71 0.00021798 -0.085087 0.017246
72 0.012148 -0.073594 0.038228
73 0.014134 -0.0808 0.025707
74 0.0077374 -0.079797 -0.019935
75 -0.0093568 -0.079171 -0.020094
76 -0.0001796 -0.085883 -0.0051904
77 0.012908 0.045916 0.022322
78 0.022643 0.048199 0.011161
79 0.021902 0.037149 0.030271
80 0.035758 0.036284 0.014924
81 0.028054 0.046451 0.0017842
82 0.040991 0.033349 0.0070719
83 0.027535 0.029047 0.03532
84 0.040809 0.027695 0.021277
85 0.040289 0.017664 0.032721
86 0.045489 0.026216 0.0049011
87 0.043315 0.02264 -0.012196
88 0.049468 0.013008 -0.0075087
89 0.014058 0.0060499 0.053169
90 0.022307 0.017613 0.04625
91 0.034481 0.0063183 0.044819
92 0.026363 -0.0053692 0.053728
93 0.048613 0.016212 0.012974
94 0.049105 0.0061084 0.024655
95 0.052653 0.0046303 0.0016749
96 0.056006 -0.0066015 0.01213
97 0.04079 0.0063963 -0.029181
98 0.050171 0.003039 -0.019107
99 0.048487 -0.0069301 0.038317
100 0.041409 -0.017399 0.048059
101 0.055826 -0.017676 0.026992
102 0.051219 -0.030483 0.041338
103 0.056148 -0.0068485 -0.013486
104 0.058164 -0.016522 -0.0007776
105 0.057271 -0.028225 -0.013843
106 0.016582 -0.044143 0.059465
107 0.027771 -0.030994 0.057613
108 0.039986 -0.043252 0.048882
109 0.025346 -0.055707 0.05223
110 0.058306 -0.028413 0.014989
111 0.053785 -0.041574 0.030081
112 0.057141 -0.039235 0.0035334
113 0.053378 -0.051002 0.016553
114 0.051783 -0.038785 -0.022182
115 0.041385 -0.05129 -0.035473
116 0.045206 -0.053691 0.039125
117 0.031483 -0.065705 0.041067
118 0.044359 -0.063643 0.025986
119 0.032749 -0.072471 0.028722
120 0.053245 -0.047854 -0.0082873
121 0.049694 -0.060218 0.0059465
122 0.046038 -0.05892 -0.017837
123 0.044526 -0.067763 -0.0026185
124 0.018027 -0.083565 -0.0077108
125 0.010947 -0.087044 0.0038439
126 0.023078 -0.083074 0.012517
127 0.029447 -0.081049 0.0013586
128 0.022772 -0.074967 -0.025143
129 0.034063 -0.066079 -0.030476
130 0.034123 -0.074665 -0.012254
