306 306 130
1 -0.010362 0.056901 0.0085018
2 0.00090447 0.052619 0.020474
3 0.012033 0.056186 0.0080253
4 -0.022198 0.052373 0.016447
5 -0.012307 0.049413 0.028
6 -0.021675 0.039841 0.035094
7 -0.035744 0.039416 0.021439
8 -0.028425 0.050778 0.0064454
9 -0.041097 0.037439 0.011605
10 0.00047706 0.039087 0.039456
11 -0.010515 0.030309 0.046806
12 0.00032875 0.017559 0.052712
13 0.011412 0.029919 0.046763
14 -0.027678 0.030513 0.040038
15 -0.041184 0.030129 0.026097
16 -0.040656 0.018123 0.036769
17 -0.045538 0.029317 0.0094747
18 -0.04744 0.017297 -0.0034759
19 -0.042248 0.026056 -0.0074753
20 -0.021826 0.018669 0.050014
21 -0.035326 0.0070887 0.047112
22 -0.026523 -0.0066431 0.056549
23 -0.013469 0.0059883 0.056552
24 -0.049226 0.018505 0.017309
25 -0.049512 0.0089072 0.028229
26 -0.051747 0.0088388 0.0064063
27 -0.056225 -0.0024185 0.014981
28 -0.048294 -0.0048445 0.040976
29 -0.041066 -0.018124 0.050975
30 -0.056509 -0.015239 0.028482
31 -0.050979 -0.029076 0.042881
32 -0.054694 -0.0017552 -0.011229
33 -0.05839 -0.01159 0.0011219
34 -0.057309 -0.021977 -0.011852
35 -0.028551 -0.031306 0.058216
36 -0.039386 -0.042963 0.049634
37 -0.025455 -0.05601 0.05131
38 -0.015973 -0.045531 0.059575
39 -0.059042 -0.025299 0.015942
40 -0.054972 -0.039972 0.030085
41 -0.058713 -0.034808 0.0035988
42 -0.054565 -0.047836 0.015927
43 -0.045487 -0.052855 0.038494
44 -0.032088 -0.06561 0.039609
45 -0.045547 -0.061836 0.024681
46 -0.034417 -0.071702 0.027246
47 -0.054809 -0.042351 -0.007588
48 -0.050939 -0.056142 0.0052041
49 -0.046256 -0.063144 -0.0037357
50 -0.046863 -0.052974 -0.01797
51 -0.02521 -0.082966 0.0091696
52 -0.032127 -0.079175 -0.00072722
53 -0.021252 -0.082495 -0.01024
54 -0.013696 -0.087022 0.00055287
55 -0.037611 -0.069986 -0.01367
56 -0.02574 -0.07172 -0.026939
57 -0.036806 -0.060259 -0.03101
58 -0.048769 0.0078453 -0.016038
59 -0.040164 0.012387 -0.024911
60 -0.051693 -0.033322 -0.019272
61 -0.041354 -0.046235 -0.034618
62 -0.016895 -0.019247 0.061028
63 -0.00021798 -0.0071001 0.059701
64 -0.00079211 -0.033087 0.062423
65 0.016852 -0.019488 0.061192
66 -0.013593 -0.067254 0.046064
67 -0.0014209 -0.056643 0.05478
68 0.011886 -0.067848 0.046186
69 -0.012949 -0.074053 0.036933
70 -0.015009 -0.081674 0.023228
71 -0.0010944 -0.086144 0.013667
72 0.010767 -0.074741 0.036998
73 0.013156 -0.082617 0.023363
74 0.0087701 -0.078701 -0.023404
75 -0.010452 -0.077844 -0.023227
76 -0.00085258 -0.085313 -0.0094281
77 0.013905 0.049001 0.027534
78 0.023823 0.05158 0.016221
79 0.022641 0.039363 0.035284
80 0.03779 0.038155 0.020903
81 0.030452 0.04985 0.0056762
82 0.042933 0.036365 0.010986
83 0.029128 0.029977 0.040057
84 0.042846 0.029147 0.025854
85 0.042084 0.017339 0.037231
86 0.047195 0.028394 0.0091772
87 0.044133 0.025408 -0.0072815
88 0.048629 0.017301 -0.0042467
89 0.014504 0.0060758 0.056644
90 0.022388 0.017724 0.050661
91 0.036183 0.0060095 0.047699
92 0.026226 -0.00677 0.05725
93 0.05046 0.0177 0.016866
94 0.050498 0.0079731 0.027886
95 0.052524 0.0074857 0.0063798
96 0.056941 -0.0037711 0.014159
97 0.039862 0.0107 -0.025522
98 0.049047 0.0069443 -0.016092
99 0.048727 -0.0052301 0.041435
100 0.041168 -0.018614 0.05143
101 0.057416 -0.016612 0.027999
102 0.051394 -0.030763 0.043214
103 0.055437 -0.0033762 -0.012047
104 0.058849 -0.012672 0.0012547
105 0.057598 -0.023895 -0.013107
106 0.015079 -0.04588 0.059748
107 0.027486 -0.032107 0.059033
108 0.039401 -0.044365 0.050089
109 0.024238 -0.056965 0.052018
110 0.05969 -0.026609 0.015935
111 0.055681 -0.041732 0.030137
112 0.059107 -0.036993 0.0030286
113 0.055354 -0.050149 0.015882
114 0.05231 -0.035021 -0.019977
115 0.041096 -0.048291 -0.035843
116 0.045606 -0.054556 0.039386
117 0.031306 -0.067409 0.039877
118 0.045817 -0.06429 0.024892
119 0.033893 -0.073717 0.028052
120 0.054997 -0.044418 -0.0090536
121 0.051325 -0.058994 0.0045741
122 0.046781 -0.055476 -0.018862
123 0.046183 -0.06567 -0.004752
124 0.019095 -0.084324 -0.010852
125 0.01135 -0.088288 0.00021989
126 0.023524 -0.084821 0.0095498
127 0.031332 -0.081351 -0.0012363
128 0.024263 -0.073405 -0.027571
129 0.035839 -0.062327 -0.032105
130 0.036798 -0.072743 -0.014228
