303 303 130
1 -0.010862 0.04808 0.0086232
2 -0.00084878 0.043385 0.019169
3 0.0086059 0.048065 0.0082822
4 -0.022486 0.043771 0.015915
5 -0.011801 0.040734 0.025899
6 -0.021541 0.031555 0.033611
7 -0.035194 0.03162 0.019688
8 -0.027703 0.042809 0.0074055
9 -0.040243 0.029591 0.011919
10 -0.00075601 0.031032 0.036176
11 -0.01026 0.023883 0.043409
12 -0.00047411 0.012747 0.048503
13 0.008012 0.024125 0.043345
14 -0.026562 0.023604 0.038005
15 -0.040008 0.022939 0.024725
16 -0.039673 0.010919 0.035221
17 -0.044147 0.022611 0.0094519
18 -0.045385 0.011001 -0.0017941
19 -0.04104 0.019373 -0.00553
20 -0.02208 0.01253 0.047135
21 -0.034153 0.0015727 0.044837
22 -0.025738 -0.010273 0.053979
23 -0.014135 0.0015069 0.053443
24 -0.047697 0.011738 0.016576
25 -0.047512 0.003573 0.026794
26 -0.049069 0.0036794 0.006113
27 -0.053605 -0.0073988 0.014016
28 -0.046352 -0.0096167 0.039165
29 -0.039719 -0.021584 0.048452
30 -0.053816 -0.019347 0.026682
31 -0.048361 -0.032602 0.040771
32 -0.051648 -0.005665 -0.0095358
33 -0.054985 -0.014855 0.0022774
34 -0.054048 -0.025019 -0.011086
35 -0.027179 -0.033822 0.055828
36 -0.037113 -0.045277 0.047375
37 -0.023027 -0.057458 0.049137
38 -0.014679 -0.047338 0.056998
39 -0.055724 -0.028488 0.01561
40 -0.051954 -0.042456 0.028277
41 -0.055284 -0.037081 0.0042185
42 -0.051284 -0.04977 0.015581
43 -0.042533 -0.054726 0.036378
44 -0.029543 -0.066569 0.037353
45 -0.0426 -0.062548 0.023212
46 -0.031287 -0.072353 0.025425
47 -0.051432 -0.044359 -0.0072485
48 -0.047712 -0.057443 0.0051761
49 -0.042865 -0.063692 -0.0037138
50 -0.04398 -0.052882 -0.016822
51 -0.022732 -0.081891 0.0088218
52 -0.02943 -0.078148 -0.0010221
53 -0.019553 -0.0807 -0.0098624
54 -0.011093 -0.085523 0.00026035
55 -0.03527 -0.069054 -0.012615
56 -0.023969 -0.069313 -0.026057
57 -0.034557 -0.058588 -0.029679
58 -0.046125 0.0032026 -0.013307
59 -0.038731 0.0077038 -0.021137
60 -0.048889 -0.034227 -0.018014
61 -0.038558 -0.045428 -0.033037
62 -0.015395 -0.022142 0.058673
63 -0.00067152 -0.011257 0.056637
64 -0.0010142 -0.034233 0.05942
65 0.014285 -0.020737 0.058343
66 -0.011197 -0.067635 0.043721
67 -0.00094802 -0.057292 0.051641
68 0.011209 -0.067201 0.043874
69 -0.0097608 -0.074685 0.034171
70 -0.013113 -0.080861 0.022289
71 0.00022429 -0.084411 0.012142
72 0.0098672 -0.07432 0.034255
73 0.01352 -0.080604 0.022399
74 0.0093771 -0.075114 -0.022998
75 -0.0090809 -0.075081 -0.022796
76 0.00053485 -0.083383 -0.0086618
77 0.0098259 0.04109 0.025388
78 0.020346 0.044635 0.015411
79 0.019489 0.03304 0.033023
80 0.033874 0.032982 0.019331
81 0.025838 0.044136 0.0060339
82 0.038718 0.031949 0.011222
83 0.025417 0.025139 0.037536
84 0.038677 0.025488 0.02378
85 0.038405 0.013763 0.035128
86 0.042918 0.025192 0.0088322
87 0.039955 0.022234 -0.005914
88 0.04394 0.014658 -0.0028174
89 0.012415 0.0024404 0.053325
90 0.020248 0.013198 0.047605
91 0.033101 0.0038986 0.044735
92 0.024444 -0.0084768 0.054241
93 0.046437 0.014978 0.015812
94 0.046639 0.006387 0.02571
95 0.047926 0.006143 0.0056251
96 0.052576 -0.0037318 0.012718
97 0.036381 0.0090147 -0.021811
98 0.044016 0.0060628 -0.014146
99 0.045312 -0.0065164 0.038818
100 0.038837 -0.01827 0.04826
101 0.053374 -0.015679 0.025806
102 0.048226 -0.029422 0.040683
103 0.050371 -0.0029426 -0.010498
104 0.054137 -0.011071 0.0015812
105 0.053719 -0.022669 -0.012333
106 0.014219 -0.046534 0.056925
107 0.025856 -0.032417 0.055614
108 0.037128 -0.043703 0.047823
109 0.023171 -0.05683 0.049583
110 0.055871 -0.025823 0.014733
111 0.053051 -0.03949 0.027029
112 0.055652 -0.034755 0.0034204
113 0.052648 -0.047774 0.014955
114 0.049483 -0.032724 -0.018968
115 0.038709 -0.045242 -0.034965
116 0.043235 -0.053109 0.036883
117 0.029885 -0.065712 0.038068
118 0.044086 -0.061678 0.022638
119 0.032396 -0.072082 0.025723
120 0.052007 -0.042835 -0.0087066
121 0.049101 -0.056311 0.0040375
122 0.045063 -0.05229 -0.017442
123 0.044403 -0.062589 -0.0048381
124 0.019517 -0.08129 -0.010554
125 0.011567 -0.085893 -5.1582e-05
126 0.023668 -0.082107 0.0087216
127 0.030494 -0.07836 -0.0014283
128 0.024019 -0.069496 -0.027089
129 0.0346 -0.058701 -0.031329
130 0.036122 -0.068947 -0.013571
